import time: self [us] | cumulative | imported package
import time:       432 |        432 | winreg
import time:       672 |        672 |   _io
import time:       145 |        145 |   marshal
import time:       615 |        615 |   nt
import time:      2098 |       3529 | _frozen_importlib_external
import time:      1792 |       1792 |   time
import time:       856 |       2647 | zipimport
import time:       204 |        204 |     _codecs
import time:      1828 |       2031 |   codecs
import time:      3189 |       3189 |   encodings.aliases
import time:      1602 |       1602 |   encodings._win_cp_codecs
import time:      5121 |      11942 | encodings
import time:      1568 |       1568 | encodings.utf_8
import time:      1713 |       1713 | encodings.cp1252
import time:       224 |        224 | _signal
import time:       128 |        128 |       _abc
import time:       601 |        729 |     abc
import time:       212 |        212 |       _stat
import time:       536 |        747 |     stat
import time:      2983 |       2983 |     _collections_abc
import time:       302 |        302 |       genericpath
import time:       311 |        311 |       _winapi
import time:       750 |       1362 |     ntpath
import time:      1613 |       7430 |   os
import time:       306 |        306 |   _sitebuiltins
import time:      1470 |       1470 |   errno
import time:     10198 |      10198 |   encodings.utf_8_sig
import time:      5580 |       5580 |   _distutils_hack
import time:      2274 |       2274 |   sitecustomize
import time:      8242 |      35498 | site
import time:      2451 |       2451 | linecache
import time:      8159 |       8159 |     starlette
import time:      2477 |       2477 |       __future__
import time:       517 |        517 |           _contextvars
import time:      2878 |       3394 |         _py_warnings
import time:      7430 |      10824 |       warnings
import time:      2166 |      15466 |     starlette.status
import time:       605 |        605 |           itertools
import time:      2184 |       2184 |           keyword
import time:       401 |        401 |             _operator
import time:      2700 |       3100 |           operator
import time:      1668 |       1668 |           reprlib
import time:       196 |        196 |           _collections
import time:      4290 |      12041 |         collections
import time:       106 |      12147 |       collections.abc
import time:       187 |        187 |           _types
import time:      3142 |       3328 |         types
import time:      5964 |       9292 |       enum
import time:      2019 |       2019 |         copyreg
import time:       278 |        278 |           _functools
import time:      4030 |       4307 |         functools
import time:       164 |        164 |         _typing
import time:      9795 |      16284 |       typing
import time:      2109 |       2109 |         annotated_doc.main
import time:      2713 |       4821 |       annotated_doc
import time:      3963 |       3963 |         contextlib
import time:      2156 |       2156 |           email
import time:       272 |        272 |           binascii
import time:       260 |        260 |               _sre
import time:      2238 |       2238 |                 re._constants
import time:      2490 |       4727 |               re._parser
import time:      1609 |       1609 |               re._casefix
import time:      4371 |      10966 |             re._compiler
import time:      2931 |      13897 |           re
import time:      2717 |       2717 |           quopri
import time:       780 |        780 |           io
import time:       244 |        244 |               _datetime
import time:      2455 |       2698 |             datetime
import time:      2344 |       2344 |               urllib
import time:       463 |        463 |               math
import time:      7345 |       7345 |               ipaddress
import time:      4935 |      15087 |             urllib.parse
import time:      2283 |       2283 |             email._parseaddr
import time:      9631 |      29697 |           email.utils
import time:      2968 |       2968 |           email.errors
import time:       559 |        559 |                   _string
import time:      2528 |       3087 |                 string
import time:      2382 |       5469 |               email.quoprimime
import time:       354 |        354 |                     _struct
import time:      2303 |       2657 |                   struct
import time:      2264 |       4921 |                 base64
import time:      1763 |       6683 |               email.base64mime
import time:      1398 |       1398 |                 email.encoders
import time:      1971 |       3369 |               email.charset
import time:      5389 |      20909 |             email.header
import time:      2626 |      23535 |           email._policybase
import time:      2323 |       2323 |           email._encoded_words
import time:      2408 |       2408 |           email.iterators
import time:      3245 |      83993 |         email.message
import time:       742 |        742 |               _ast
import time:      3463 |       4204 |             ast
import time:      5140 |       9344 |           annotationlib
import time:       181 |        181 |               _opcode
import time:      2028 |       2028 |               _opcode_metadata
import time:      2867 |       5075 |             opcode
import time:      9331 |      14405 |           dis
import time:      3023 |       3023 |             importlib
import time:       329 |       3352 |           importlib.machinery
import time:      2016 |       2016 |             token
import time:       177 |        177 |             _tokenize
import time:      9708 |      11900 |           tokenize
import time:      2933 |       2933 |             _weakrefset
import time:      3455 |       6388 |           weakref
import time:     14217 |      59603 |         inspect
import time:       262 |        262 |               _json
import time:      3075 |       3336 |             json.scanner
import time:      3751 |       7087 |           json.decoder
import time:      2246 |       2246 |           json.encoder
import time:      2417 |      11749 |         json
import time:      1911 |       1911 |             anyio._core
import time:      2579 |       4489 |           anyio._core._contextmanagers
import time:      8642 |       8642 |             threading
import time:      2659 |       2659 |             contextvars
import time:      4773 |       4773 |               textwrap
import time:      2981 |       7754 |             anyio._core._exceptions
import time:      1448 |       1448 |             sniffio
import time:      2245 |      22745 |           anyio._core._eventloop
import time:      1324 |       1324 |                 posix
import time:      1234 |       1234 |                 posix
import time:       696 |       3253 |               posixpath
import time:      2777 |       2777 |                 fnmatch
import time:      3468 |       6244 |               glob
import time:      1856 |       1856 |               pwd
import time:      1613 |       1613 |               grp
import time:      1330 |       1330 |                 fcntl
import time:      1314 |       1314 |                 posix
import time:      3585 |       6228 |               pathlib._os
import time:      6068 |      25260 |             pathlib
import time:      4193 |       4193 |               copy
import time:      3659 |       7852 |             dataclasses
import time:      2808 |       2808 |                   signal
import time:      6191 |       6191 |                     _socket
import time:     24501 |      30692 |                   socket
import time:      3130 |      36629 |                 anyio.abc._eventloop
import time:      1646 |       1646 |                 anyio.abc._resources
import time:      1771 |       1771 |                   anyio._core._typedattr
import time:      1922 |       1922 |                     anyio.abc._tasks
import time:      4138 |       6060 |                   anyio.abc._streams
import time:      3175 |      11004 |                 anyio.abc._sockets
