import time: self [us] | cumulative | imported package
import time:       459 |        459 | winreg
import time:       854 |        854 |   _io
import time:       164 |        164 |   marshal
import time:       796 |        796 |   nt
import time:      2382 |       4195 | _frozen_importlib_external
import time:      2807 |       2807 |   time
import time:       898 |       3705 | zipimport
import time:       106 |        106 |     _codecs
import time:      1296 |       1402 |   codecs
import time:      2588 |       2588 |   encodings.aliases
import time:      1229 |       1229 |   encodings._win_cp_codecs
import time:      6101 |      11319 | encodings
import time:      1342 |       1342 | encodings.utf_8
import time:      1602 |       1602 | encodings.cp1252
import time:       192 |        192 | _signal
import time:       113 |        113 |       _abc
import time:       537 |        650 |     abc
import time:       192 |        192 |       _stat
import time:       575 |        767 |     stat
import time:      3041 |       3041 |     _collections_abc
import time:       354 |        354 |       genericpath
import time:       373 |        373 |       _winapi
import time:       853 |       1579 |     ntpath
import time:      1749 |       7784 |   os
import time:       320 |        320 |   _sitebuiltins
import time:       219 |        219 |   errno
import time:     79381 |      79381 |   encodings.utf_8_sig
import time:    130495 |     130495 |   _distutils_hack
import time:      1009 |       1009 |   sitecustomize
import time:      6600 |     225804 | site
import time:      1790 |       1790 | linecache
import time:      1980 |       1980 |     starlette
import time:     29930 |      29930 |       __future__
import time:       152 |        152 |           _contextvars
import time:    117411 |     117563 |         _py_warnings
import time:     45424 |     162986 |       warnings
import time:     72870 |     265785 |     starlette.status
import time:       332 |        332 |           itertools
import time:      1313 |       1313 |           keyword
import time:       182 |        182 |             _operator
import time:      1535 |       1717 |           operator
import time:      1680 |       1680 |           reprlib
import time:       258 |        258 |           _collections
import time:      2997 |       8295 |         collections
import time:        84 |       8379 |       collections.abc
import time:       165 |        165 |           _types
import time:      2144 |       2308 |         types
import time:      4133 |       6440 |       enum
import time:     23086 |      23086 |         copyreg
import time:       190 |        190 |           _functools
import time:      2785 |       2975 |         functools
import time:        89 |         89 |         _typing
import time:     41904 |      68053 |       typing
import time:     62114 |      62114 |         annotated_doc.main
import time:      2192 |      64305 |       annotated_doc
import time:     58557 |      58557 |         contextlib
import time:     55483 |      55483 |           email
import time:       218 |        218 |           binascii
import time:       180 |        180 |               _sre
import time:      1476 |       1476 |                 re._constants
import time:      1611 |       3086 |               re._parser
import time:      1023 |       1023 |               re._casefix
import time:      1834 |       6121 |             re._compiler
import time:      2649 |       8769 |           re
import time:    136754 |     136754 |           quopri
import time:       494 |        494 |           io
import time:       231 |        231 |               _datetime
import time:      1851 |       2081 |             datetime
import time:      2255 |       2255 |               urllib
import time:       359 |        359 |               math
import time:     48763 |      48763 |               ipaddress
import time:     59220 |     110595 |             urllib.parse
import time:     96659 |      96659 |             email._parseaddr
import time:     45088 |     254422 |           email.utils
import time:    121891 |     121891 |           email.errors
import time:       195 |        195 |                   _string
